Abbreviation,Name,Formula (neutral),Formula (charged),Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,Smiles
(arg-asp-L)2,L-arginine-L-aspartate dimer of cyanophycin,C20H38N10O9,,0,,,,,,
(arg-asp-L)-asp-L,,C24H42N11O12,,-1,,,,,,
(R)-3-Hydroxy-3-methyl-2-oxopentanoate,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,C6H9O4,,-1,,C14463,,,,
(R)-Allantoin,(R)-Allantoin,C4H6N4O3,,0,,C02348,,,,
1_2-Dianteisoheptadecanoyl-sn-glycerol,"1,2-Dianteisoheptadecanoyl-sn-glycerol",C37H72O5,,0,,,,,,
1_2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate,"1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate",C37H72O8P,,-1,,,,,,
1_2-Dianteisopentadecanoyl-sn-glycerol,"1,2-Dianteisopentadecanoyl-sn-glycerol",C33H64O5,,0,,,,,,
1_2-dianteisopentadecanoyl-sn-glycerol 3-phosphate,"1,2-dianteisopentadecanoyl-sn-glycerol 3-phosphate",C33H64O8P,,-1,,,,,,
1_2-Diisoheptadecanoyl-sn-glycerol,"1,2-Diisoheptadecanoyl-sn-glycerol",C37H72O5,,0,,,,,,
1_2-diisoheptadecanoyl-sn-glycerol 3-phosphate,"1,2-diisoheptadecanoyl-sn-glycerol 3-phosphate",C37H72O8P,,-1,,,,,,
1_2-Diisohexadecanoyl-sn-glycerol,"1,2-Diisohexadecanoyl-sn-glycerol",C35H68O5,,0,,,,,,
1_2-diisohexadecanoyl-sn-glycerol 3-phosphate,"1,2-diisohexadecanoyl-sn-glycerol 3-phosphate",C35H68O8P,,-1,,,,,,
1_2-Diisopentadecanoyl-sn-glycerol,"1,2-Diisopentadecanoyl-sn-glycerol",C33H64O5,,0,,,,,,
1_2-diisopentadecanoyl-sn-glycerol 3-phosphate,"1,2-diisopentadecanoyl-sn-glycerol 3-phosphate",C33H64O8P,,-1,,,,,,
1_2-Diisotetradecanoyl-sn-glycerol,"1,2-Diisotetradecanoyl-sn-glycerol",C31H60O5,,0,,,,,,
1_2-diisotetradecanoyl-sn-glycerol 3-phosphate,"1,2-diisotetradecanoyl-sn-glycerol 3-phosphate",C31H60O8P,,-1,,,,,,
1_4-Dihydroxy-2-naphthoyl-CoA,"1,4-Dihydroxy-2-naphthoyl-CoA",C32H39N7O19P3S,,-3,,C15547,,,,
10-Formyl-THF-L-glutamate,10-Formyl-THF-L-glutamate,C25H27N8O10,,-3,,C05928,,,,
10fthf,10-Formyl-THF,C20H21N7O7,,-2,,C00234,,,,
10-methyl-3-hydroxy-dodecanoyl-ACP,10-methyl-3-hydroxy-dodecanoyl-ACP,C24H45N2O9PRS,,-1,,,,,,
10-methyl-3-hydroxy-undecanoyl-ACP,10-methyl-3-hydroxy-undecanoyl-ACP,C23H43N2O9PRS,,-1,,,,,,
10-methyl-3-oxo-dodecanoyl-ACP,10-methyl-3-oxo-dodecanoyl-ACP,C24H43N2O9PRS,,-1,,,,,,
10-methyl-3-oxo-undecanoyl-ACP,10-methyl-3-oxo-undecanoyl-ACP,C23H41N2O9PRS,,-1,,,,,,
10-methyl-dodecanoyl-ACP,10-methyl-dodecanoyl-ACP,C24H45N2O8PRS,,-1,,,,,,
10-methyl-trans-dodec-2-enoyl-ACP,10-methyl-trans-dodec-2-enoyl-ACP,C24H43N2O8PRS,,-1,,,,,,
10-methyl-trans-undec-2-enoyl-ACP,10-methyl-trans-undec-2-enoyl-ACP,C23H41N2O8PRS,,-1,,,,,,
10-methyl-undecanoyl-ACP,10-methyl-undecanoyl-ACP,C23H43N2O8PRS,,-1,,,,,,
11-methyl-3-hydroxy-dodecanoyl-ACP,11-methyl-3-hydroxy-dodecanoyl-ACP,C24H45N2O9PRS,,-1,,,,,,
11-methyl-3-oxo-dodecanoyl-ACP,11-methyl-3-oxo-dodecanoyl-ACP,C24H43N2O9PRS,,-1,,,,,,
11-methyl-dodecanoyl-ACP,11-methyl-dodecanoyl-ACP,C24H45N2O8PRS,,-1,,,,,,
11-methyl-trans-dodec-2-enoyl-ACP,11-methyl-trans-dodec-2-enoyl-ACP,C24H43N2O8PRS,,-1,,,,,,
12d3k5m,"1,2-dihydroxy-3-keto-5-methylthiopentene",C6H9O3S,,-1,,C15606,,,,
12dgr120,"1,2-Diacyl-sn-glycerol didodecanoyl",C27H52O5,,0,,,,,,
12dgr140,"1,2-Diacyl-sn-glycerol ditetradecanoyl",C31H60O5,,0,,,,,,
12dgr141,"1,2-Diacyl-sn-glycerol ditetradec-7-enoyl",C31H56O5,,0,,,,,,
12dgr160,"1,2-Diacyl-sn-glycerol dihexadecanoyl",C35H68O5,,0,,,,,,
12dgr161,"1,2-Diacyl-sn-glycerol dihexadec-9-enoyl",C35H64O5,,0,,,,,,
12dgr180,"1,2-Diacyl-sn-glycerol dioctadecanoyl",C39H76O5,,0,,,,,,
12dgr181,"1,2-Diacyl-sn-glycerol dioctadec-11-enoyl",C39H72O5,,0,,,,,,
12-methyl-3-hydroxy-tetra-decanoyl-ACP,12-methyl-3-hydroxy-tetra-decanoyl-ACP,C26H49N2O9PRS,,-1,,,,,,
12-methyl-3-hydroxy-tridecanoyl-ACP,12-methyl-3-hydroxy-tridecanoyl-ACP,C25H47N2O9PRS,,-1,,,,,,
12-methyl-3-oxo-tetra-decanoyl-ACP,12-methyl-3-oxo-tetra-decanoyl-ACP,C26H47N2O9PRS,,-1,,,,,,
12-methyl-3-oxo-tridecanoyl-ACP,12-methyl-3-oxo-tridecanoyl-ACP,C25H45N2O9PRS,,-1,,,,,,
