Abbreviation,Name,Reaction,GPR,Genes,Protein,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence score,E.C. number,Notes,References
PhotonII absorption,,photonII[e] => photonII[c],,,,Photosynthesis,0,,,0,4,,but photon is pretended here to be exchange reaction,
PhotonI absorpotion,,photonI[e] => photonI[c],,,,Photosynthesis,0,,,0,4,,but photon is pretended here to be exchange reaction,
PSIIR1,PSII reaction,4 photonII[c] + 2 h2o[c] + 4 PSII[c] => o2[c] + 4 h[u] + 4 PSII*[c],Psb27 (A2533)  and Psb28 (A1258)  and Psb28_2 (A1312)  and PsbA1 (A1418)  and PsbB (A1759)  and PsbC (A1559)  and PsbD1 (A1560)  and PsbE (A0230)  and PsbF (A0231)  and PsbH (A0808)  and PsbJ (A0233)  and PsbK (A2779)  and PsbL (A0232)  and PsbM (A2151)  and PsbO (A0269)  and PsbP (A1303)  and PsbT (A0957)  and PsbU (A0322)  and PsbV (A0112)  and PsbY (A1347)  and PsbZ (A0135)  ) or ( Psb27 (A2533)  and Psb28 (A1258)  and Psb28_2 (A1312)  and PsbA2 (A0157)  and PsbB (A1759)  and PsbC (A1559)  and PsbD1 (A1560)  and PsbE (A0230)  and PsbF (A0231)  and PsbH (A0808)  and PsbJ (A0233)  and PsbK (A2779)  and PsbL (A0232)  and PsbM (A2151)  and PsbO (A0269)  and PsbP (A1303)  and PsbT (A0957)  and PsbU (A0322)  and PsbV (A0112)  and PsbY (A1347)  and PsbZ (A0135)  ) or ( Psb27 (A2533)  and Psb28 (A1258)  and Psb28_2 (A1312)  and PsbA3 (A2164)  and PsbB (A1759)  and PsbC (A1559)  and PsbD1 (A1560)  and PsbE (A0230)  and PsbF (A0231)  and PsbH (A0808)  and PsbJ (A0233)  and PsbK (A2779)  and PsbL (A0232)  and PsbM (A2151)  and PsbO (A0269)  and PsbP (A1303)  and PsbT (A0957)  and PsbU (A0322)  and PsbV (A0112)  and PsbY (A1347)  and PsbZ (A0135)  ) or ( Psb27 (A2533)  and Psb28 (A1258)  and Psb28_2 (A1312)  and PsbA1 (A1418),( A2533  and  A1258  and  A1312  and  A1418  and  A1759  and  A1559  and  A1560  and  A0230  and  A0231  and  A0808  and  A0233  and  A2779  and  A0232  and  A2151  and  A0269  and  A1303  and  A0957  and  A0322  and  A0112  and  A1347  and  A0135 )  or  ( A2533  and  A1258  and  A1312  and  A0157  and  A1759  and  A1559  and  A1560  and  A0230  and  A0231  and  A0808  and  A0233  and  A2779  and  A0232  and  A2151  and  A0269  and  A1303  and  A0957  and  A0322  and  A0112  and  A1347  and  A0135 )  or  ( A2533  and  A1258  and  A1312  and  A2164  and  A1759  and  A1559  and  A1560  and  A0230  and  A0231  and  A0808  and  A0233  and  A2779  and  A0232  and  A2151  and  A0269  and  A1303  and  A0957  and  A0322  and  A0112  and  A1347  and  A0135 )  or  ( A2533  and  A1258  and  A1312  and  A1418  and  A1759  and  A1559  and  A2199  and  A0230  and  A0231  and  A0808  and  A0233  and  A2779  and  A0232  and  A2151  and  A0269  and  A1303  and  A0957  and  A0322  and  A0112  and  A1347  and  A0135 ),Psb27 and Psb28 and Psb28_2 and PsbA1 and PsbB and PsbC and PsbD1 and PsbE and PsbF and PsbH and PsbJ and PsbK and PsbL and PsbM and PsbO and PsbP and PsbT and PsbU and PsbV and PsbY and PsbZ ) or ( Psb27 and Psb28 and Psb28_2 and PsbA2 and PsbB and PsbC and PsbD1 and PsbE and PsbF and PsbH and PsbJ and PsbK and PsbL and PsbM and PsbO and PsbP and PsbT and PsbU and PsbV and PsbY and PsbZ ) or ( Psb27 and Psb28 and Psb28_2 and PsbA3 and PsbB and PsbC and PsbD1 and PsbE and PsbF and PsbH and PsbJ and PsbK and PsbL and PsbM and PsbO and PsbP and PsbT and PsbU and PsbV and PsbY and PsbZ ) or ( Psb27 and Psb28 and Psb28_2 and PsbA1 and PsbB and PsbC and PsbD2 and PsbE and PsbF and PsbH and PsbJ and PsbK and PsbL and PsbM and PsbO and PsbP and PsbT and PsbU and PsbV and PsbY and PsbZ ) or ( Psb27 and Psb28 and Psb28_2 and PsbA2 and PsbB and PsbC and PsbD2 and PsbE and PsbF and PsbH and PsbJ and PsbK and PsbL and PsbM and PsbO and PsbP and PsbT and PsbU and PsbV and PsbY and PsbZ ) or ( Psb27 and Psb28 and Psb28_2 and PsbA3 and PsbB and PsbC and PsbD2 and PsbE and PsbF and PsbH and PsbJ and PsbK and PsbL and PsbM and PsbO and PsbP and PsbT and PsbU and PsbV and PsbY and PsbZ ,Photosynthesis,0,,,0,4,,,
PSIIR2,PSII reaction,PSII*[c] + 2 h[c] + PQ[c] => PSII[c] + PQH2[c],Cyc6-I (A0167)  and PetA (A1910)  and PetB (A0842)  and PetC1 (A1909)  and PetD (A0841)  and PetG (A0374)  and PetM (A1311)  ) or ( Cyc6-I (A0167)  and PetA (A1910)  and PetB (A0842)  and PetC2 (G0076)  and PetD (A0841)  and PetG (A0374)  and PetM (A1311)  ) or ( Cyc6-II (A2391)  and PetA (A1910)  and PetB (A0842)  and PetC1 (A1909)  and PetD (A0841)  and PetG (A0374)  and PetM (A1311)  ) or ( Cyc6-II (A2391)  and PetA (A1910)  and PetB (A0842)  and PetC2 (G0076)  and PetD (A0841)  and PetG (A0374)  and PetM (A1311),( A0167  and  A1910  and  A0842  and  A1909  and  A0841  and  A0374  and  A1311 )  or  ( A0167  and  A1910  and  A0842  and  G0076  and  A0841  and  A0374  and  A1311 )  or  ( A2391  and  A1910  and  A0842  and  A1909  and  A0841  and  A0374  and  A1311 )  or  ( A2391  and  A1910  and  A0842  and  G0076  and  A0841  and  A0374  and  A1311 ),Cyc6-I and PetA and PetB and PetC1 and PetD and PetG and PetM ) or ( Cyc6-I and PetA and PetB and PetC2 and PetD and PetG and PetM ) or ( Cyc6-II and PetA and PetB and PetC1 and PetD and PetG and PetM ) or ( Cyc6-II and PetA and PetB and PetC2 and PetD and PetG and PetM,Photosynthesis,0,,,0,4,,combined reaction of two that involves PSI,
PSIIR3,ubiquinol->citb6,PQH2[c] + citb6[c] => PQ[c] + citb6*[c] + 2 h[u],Cyc6-I (A0167)  and PetA (A1910)  and PetB (A0842)  and PetC1 (A1909)  and PetD (A0841)  and PetG (A0374)  and PetM (A1311)  ) or ( Cyc6-I (A0167)  and PetA (A1910)  and PetB (A0842)  and PetC2 (G0076)  and PetD (A0841)  and PetG (A0374)  and PetM (A1311)  ) or ( Cyc6-II (A2391)  and PetA (A1910)  and PetB (A0842)  and PetC1 (A1909)  and PetD (A0841)  and PetG (A0374)  and PetM (A1311)  ) or ( Cyc6-II (A2391)  and PetA (A1910)  and PetB (A0842)  and PetC2 (G0076)  and PetD (A0841)  and PetG (A0374)  and PetM (A1311),( A0167  and  A1910  and  A0842  and  A1909  and  A0841  and  A0374  and  A1311 )  or  ( A0167  and  A1910  and  A0842  and  G0076  and  A0841  and  A0374  and  A1311 )  or  ( A2391  and  A1910  and  A0842  and  A1909  and  A0841  and  A0374  and  A1311 )  or  ( A2391  and  A1910  and  A0842  and  G0076  and  A0841  and  A0374  and  A1311 ),Cyc6-I and PetA and PetB and PetC1 and PetD and PetG and PetM ) or ( Cyc6-I and PetA and PetB and PetC2 and PetD and PetG and PetM ) or ( Cyc6-II and PetA and PetB and PetC1 and PetD and PetG and PetM ) or ( Cyc6-II and PetA and PetB and PetC2 and PetD and PetG and PetM,Photosynthesis,0,,,0,4,,,
PSIR1,citb6->PC,[c] : citb6* + PC => citb6 + PC*,PsaA (A1961)  and PsaB (A1962)  and PsaC (A1589)  and PsaD (A0682)  and PsaE (A1393)  and PsaF (A1008)  and PsaI (A2621)  and PsaJ (A1009)  and PsaK1 (A2401)  and PsaL1 (A2620)  and PsaM (A1834) ,A1961  and  A1962  and  A1589  and  A0682  and  A1393  and  A1008  and  A2621  and  A1009  and  A2401  and  A2620  and  A1834 ,PsaA and PsaB and PsaC and PsaD and PsaE and PsaF and PsaI and PsaJ and PsaK1 and PsaL1 and PsaM,Photosynthesis,0,,,0,4,,,
PSIR2,PSI reaction,[c] : photonI + PC* + PSI => PC + PSI*,PsaA (A1961)  and PsaB (A1962)  and PsaC (A1589)  and PsaD (A0682)  and PsaE (A1393)  and PsaF (A1008)  and PsaI (A2621)  and PsaJ (A1009)  and PsaK1 (A2401)  and PsaL1 (A2620)  and PsaM (A1834) ,A1961  and  A1962  and  A1589  and  A0682  and  A1393  and  A1008  and  A2621  and  A1009  and  A2401  and  A2620  and  A1834 ,PsaA and PsaB and PsaC and PsaD and PsaE and PsaF and PsaI and PsaJ and PsaK1 and PsaL1 and PsaM,Photosynthesis,0,,,0,4,,combined reaction of two that involves PSI,
PSIR3,PSI->Fd,[c] : PSI* + fdxox => PSI + fdxrd,PsaA (A1961)  and PsaB (A1962)  and PsaC (A1589)  and PsaD (A0682)  and PsaE (A1393)  and PsaF (A1008)  and PsaI (A2621)  and PsaJ (A1009)  and PsaK1 (A2401)  and PsaL1 (A2620)  and PsaM (A1834) ,A1961  and  A1962  and  A1589  and  A0682  and  A1393  and  A1008  and  A2621  and  A1009  and  A2401  and  A2620  and  A1834 ,PsaA and PsaB and PsaC and PsaD and PsaE and PsaF and PsaI and PsaJ and PsaK1 and PsaL1 and PsaM,Photosynthesis,0,,,0,4,,,
FNR1,FNR reaction,[c] : fdxrd + FNR => fdxox + FNR*,,,,Photosynthesis,0,,,0,4,,,
FNR2,FNR reaction,[c] : FNR* + nadp + h => FNR + nadph,,,,Photosynthesis,0,,,0,4,,,
